Region,Condition,Rooms,Rent,Year_Construction,Space
Marathhalli,no_information,3,1570,2018,83
Bannerghatta,first_time_use,2,1000,2019,56.7
Yalahanka,first_time_use,4,2680,2019,116.5
Basavangudi,first_time_use,3,2100,2020,121.91
BTM,well_kept,1,450,1910,14
Basavangudi,first_time_use,2,1520,2020,98.72
WillsonGarden,refurbished,1,1025,1959,37
Hebbal,mint_condition,2,1790,2013,30
Hebbal,no_information,4,1960,2011,116.21
Marathhalli,no_information,3,1610,2018,83
Hebbal,mint_condition,1,1690,2013,25
Basavangudi,modernized,2,794,1889,40.2
Hebbal,mint_condition,2,1790,2013,34
Hebbal,mint_condition,3,3228.25,2015,142.1
WillsonGarden,first_time_use,3.5,2862,2020,106
Hebbal,mint_condition,4,3390,2013,55
Hebbal,mint_condition,1.5,1490,2013,21
ElectronicCity,no_information,2,383.46,1890,48.23
Basavangudi,fully_renovated,2,872.07,1973,61.71
BTM,no_information,2,900,1900,33.75
BasaweshwarNagar,mint_condition,3,3732.64,2019,182
WillsonGarden,first_time_use_after_refurbishment,7,4288,1900,202
BasaweshwarNagar,mint_condition,3,3251.66,2019,151
Marathhalli,mint_condition,3,4500,1887,230
BasaweshwarNagar,mint_condition,2.5,2237.78,2019,109
Hebbal,no_information,3,2000,2003,98
BasaweshwarNagar,mint_condition,4,3362.41,2019,164
BasaweshwarNagar,mint_condition,4,3664.25,2019,170
BTM,mint_condition,3,2080,2019,95
Marathhalli,mint_condition,3,2227,1998,105.97
BTM,no_information,2,1750,2019,80
Hebbal,mint_condition,3,2879,1999,167
Yalahanka,mint_condition,3,3780,1904,207
Hebbal,no_information,2,2320,2005,95
Bannerghatta,modernized,3,1318,1992,105.76
Basavangudi,well_kept,2.5,1209,1905,81
WillsonGarden,first_time_use_after_refurbishment,1,990,1900,35
Hebbal,mint_condition,4,4475,2006,209
Hebbal,mint_condition,1,1850,2009,109
BasaweshwarNagar,mint_condition,5,5930,2005,324
Marathhalli,first_time_use,3.5,2076.38,2018,90.06
Basavangudi,first_time_use,4,1820,1919,91
Marathhalli,first_time_use,2,1499,2018,66.4
WillsonGarden,no_information,2,1609.64,1900,99.63
WillsonGarden,first_time_use_after_refurbishment,1,1550,1959,55
Marathhalli,no_information,2,1215,1900,67
BTM,no_information,2,1320,1887,55
Bannerghatta,modernized,2,836,1995,83.05
WillsonGarden,first_time_use,2,1455,2018,61.41
Marathhalli,no_information,1,1038,2020,30
Hebbal,no_information,2,1615.57,1959,50.31
Marathhalli,mint_condition,2,1480,2013,66.2
Hebbal,no_information,3,2244,2019,76.6
Marathhalli,no_information,4,2555,1910,140.16
Marathhalli,no_information,1,1095,1976,48.26
Marathhalli,no_information,2,1265,1976,56.25
Marathhalli,no_information,2,1633,2020,60
Yalahanka,mint_condition,4,3295,2017,168.86
Marathhalli,first_time_use,2,1368.17,2019,65.4
Basavangudi,first_time_use,1,1300,2019,34.87
Basavangudi,first_time_use,1,1300,2019,36.75
Marathhalli,well_kept,2,1683,2015,81
Bannerghatta,mint_condition,1,969,2018,36
Hebbal,first_time_use,2,1784,2019,80
Basavangudi,first_time_use,1,1300,2019,39.4
Basavangudi,first_time_use,1,990,2019,25.85
Bannerghatta,first_time_use_after_refurbishment,3,1706.81,1870,104
Basavangudi,first_time_use,1,1300,2019,38.36
BasaweshwarNagar,mint_condition,6,3739.46,1910,237
Basavangudi,mint_condition,2,1388,2020,53
Hebbal,first_time_use,2,1533,2019,65
Yalahanka,mint_condition,3,1883.27,2019,98.38
ElectronicCity,no_information,1,440.94,1983,41.45
Basavangudi,first_time_use,1,990,2019,23.62
Hebbal,mint_condition,2,1490,2019,69.78
Marathhalli,well_kept,3,3593.17,1995,139.23
Hebbal,fully_renovated,2,1240,2016,45.2
Marathhalli,fully_renovated,2,735,1900,50.11
Hebbal,no_information,4,2250,2013,127
Yalahanka,mint_condition,3,1673.95,2019,85.35
Hebbal,first_time_use,3,1950,2019,86.4
Bannerghatta,well_kept,3,919,1997,76
Marathhalli,no_information,1,421.87,1900,43
ElectronicCity,first_time_use,3,1386.43,2019,72.97
Bannerghatta,well_kept,2,719,1997,60
Bannerghatta,well_kept,2,719,1997,60
Bannerghatta,well_kept,2,719,1997,60
Marathhalli,first_time_use,1,999,2019,28.9
BTM,first_time_use,4,1901,2019,133.42
Banashankari,well_kept,2,496.13,1971,55
Bannerghatta,well_kept,2,649,1997,56
Bannerghatta,well_kept,3,895,1997,74
Bannerghatta,well_kept,2,719,1997,60
Hebbal,first_time_use_after_refurbishment,3,2199,1864,106.98
ElectronicCity,well_kept,2,583.03,1908,58
Marathhalli,first_time_use,2,1397,2019,70.22
WillsonGarden,first_time_use_after_refurbishment,4,2999,1890,160.94
Marathhalli,well_kept,1,271.25,1900,24
ElectronicCity,need_of_renovation,1,458.91,1900,39
Marathhalli,need_of_renovation,1.5,433.71,1900,36
Hebbal,no_information,2,1563.75,2018,75.91
Marathhalli,no_information,4,2550,2017,121
ElectronicCity,need_of_renovation,3,670.86,1970,76
Hebbal,mint_condition,2,1405,2016,65.5
Marathhalli,modernized,2,1266.3,1964,64.9
Marathhalli,no_information,3,1665,1900,85.64
Yalahanka,mint_condition,3,3000,1980,99
Hebbal,mint_condition,1.5,1116,1890,52
WillsonGarden,first_time_use,3,1703,2020,88.58
WillsonGarden,first_time_use,3,2180,2020,103.27
Marathhalli,no_information,1,960,1976,43.1
Hebbal,mint_condition,2,2370.71,2015,101.74
Marathhalli,first_time_use,2,1645,2018,47
Marathhalli,first_time_use,2,773.6,2019,27
Hebbal,no_information,2,1478,2020,70
BasaweshwarNagar,modernized,2,914,1910,73.67
Hebbal,no_information,4,3060,1986,127.66
BasaweshwarNagar,no_information,2,1159,1930,57
Hebbal,no_information,2,1180,2017,56
Marathhalli,mint_condition,2,1872,2018,77
Marathhalli,mint_condition,2,1707,2018,85
Bannerghatta,first_time_use_after_refurbishment,3,1454.18,1870,97
Yalahanka,well_kept,2,737.49,1966,65
Yalahanka,mint_condition,3,1528.25,2015,84.75
BTM,no_information,2.5,705.06,1972,73
BTM,no_information,2,605.8,1973,51
BTM,well_kept,1,407.42,1900,42.75
WillsonGarden,well_kept,1.5,1399.92,1956,39.5
WillsonGarden,well_kept,2,1399.92,1956,53.5
Bannerghatta,first_time_use_after_refurbishment,2,1590.39,1870,99
Hebbal,first_time_use,3,1800,2019,80.9
Marathhalli,well_kept,2,408.78,1900,44
Hebbal,no_information,3,1465.62,1996,75.16
Banashankari,mint_condition,3,1691,2014,115
WillsonGarden,no_information,3,1625,1995,83
Basavangudi,refurbished,4,2124.29,1906,136.61
Basavangudi,first_time_use,2,1510,1919,77
Hebbal,mint_condition,2,1600,2014,56
Basavangudi,first_time_use,2,1410,1919,80
Hebbal,no_information,3,1897.2,1996,102
Hebbal,mint_condition,4,4192.63,2015,191.13
Basavangudi,first_time_use,2,1570,1919,85
Basavangudi,first_time_use,3,1470,1919,76
Basavangudi,first_time_use_after_refurbishment,4,2528.86,2019,150.99
Marathhalli,mint_condition,2,1800,2015,51.59
Marathhalli,first_time_use,2,1359.33,2019,63.52
WillsonGarden,fully_renovated,2,1480,2014,73.72
Basavangudi,no_information,4,2670,2018,147
ElectronicCity,no_information,3,691.29,1929,71
Basavangudi,well_kept,3,1935.17,1997,119
ElectronicCity,well_kept,4,1093.16,1970,123
Marathhalli,well_kept,3,2260,1896,161.24
BasaweshwarNagar,no_information,3,900.23,1910,90
BTM,well_kept,2.5,887.53,1973,76
ElectronicCity,well_kept,2,621.38,1908,63
Marathhalli,first_time_use,3,2580,2018,105
Basavangudi,refurbished,4,2124.29,1906,136.61
BTM,first_time_use,3,1783.89,2019,90.66
Marathhalli,well_kept,2,674.8,1917,71
Yalahanka,well_kept,1,435.74,1966,38
Basavangudi,no_information,2,2990,2015,118
Marathhalli,well_kept,1,378.14,1900,36.61
Hebbal,refurbished,2,1563.75,2017,75.91
Hebbal,first_time_use_after_refurbishment,2,1876.78,1914,91.55
Marathhalli,refurbished,3,4500,1887,230
Basavangudi,no_information,5,9774,1900,274
Basavangudi,first_time_use,2,1397,2019,53
Hebbal,first_time_use_after_refurbishment,3,1897.5,1914,115.1
Bannerghatta,well_kept,2.5,1189.27,1930,79.71
Hebbal,no_information,3,1987.04,1996,106.83
Basavangudi,no_information,3,2434,2015,112
Hebbal,first_time_use_after_refurbishment,3,2410.8,1914,117.6
Hebbal,first_time_use_after_refurbishment,3,2346,1914,117.3
Bannerghatta,first_time_use,2,1069.26,2019,60.45
Yalahanka,first_time_use,1,699,2018,20
WillsonGarden,first_time_use,2,1258,2020,65.01
Marathhalli,first_time_use,3,1942.72,2019,90.15
WillsonGarden,first_time_use,4,2250,2020,118.37
Banashankari,well_kept,1.5,668.4,1995,49.99
Basavangudi,first_time_use,2,1777,2017,84
Banashankari,no_information,2,1265,2019,63
Marathhalli,first_time_use,3,2096,2019,98
Basavangudi,first_time_use,2,1350,2019,50.3
Marathhalli,well_kept,2,1500,1999,61
BTM,need_of_renovation,3,885.68,1973,76
BTM,well_kept,3,656.1,1971,69
Basavangudi,mint_condition,1,1007,1906,46
BTM,well_kept,1.5,489.07,1972,48
Hebbal,mint_condition,4,4600,2013,160
Hebbal,mint_condition,3,2450,2017,94
Bannerghatta,well_kept,2,649,1997,56
Basavangudi,mint_condition,4,2148,2016,118.68
Hebbal,well_kept,3,1639,2014,96
Bannerghatta,well_kept,3,909,1997,76
BTM,well_kept,3,565.63,1900,64
Bannerghatta,well_kept,3,889,1997,74
WillsonGarden,first_time_use,2,1800,2019,68
Hebbal,mint_condition,2,1615,2013,70
ElectronicCity,no_information,1,352.95,1910,32
Hebbal,first_time_use_after_refurbishment,2,2997,2017,133.19
WillsonGarden,well_kept,1,404.39,1958,34
Hebbal,first_time_use,5,6855.48,2005,286.84
Banashankari,well_kept,1,280.74,1964,26
Bannerghatta,first_time_use_after_refurbishment,2,720,1892,49.36
WillsonGarden,refurbished,2,2180,1959,77.54
Hebbal,first_time_use,5,4325.69,2015,198.75
Hebbal,no_information,4,2492.05,1996,126.5
Hebbal,no_information,5,2322.02,1996,124.84
Hebbal,mint_condition,3,1650,2016,69
Marathhalli,no_information,4,2567,1982,131.19
Hebbal,first_time_use,2,2277.91,2005,95.31
ElectronicCity,first_time_use,1,845,2017,27.7
ElectronicCity,mint_condition,1,771,2017,20.5
Marathhalli,no_information,4,1571.44,1900,104.39
ElectronicCity,first_time_use,1,680,2017,20.5
ElectronicCity,mint_condition,1,803,2017,24.1
ElectronicCity,mint_condition,1,793,2017,20.5
WillsonGarden,no_information,3,1557.28,1912,80.84
Basavangudi,first_time_use_after_refurbishment,4,2320,1900,160
WillsonGarden,no_information,3,1301.13,1900,71.97
ElectronicCity,mint_condition,1,730,2017,20.5
BTM,no_information,2,1010.31,1910,73.21
WillsonGarden,well_kept,3,1930.38,1991,117.04
Basavangudi,well_kept,2,705.92,1965,45.21
Yalahanka,mint_condition,2,1181.3,2019,60.55
Hebbal,no_information,3,2043.49,1879,83.78
Hebbal,mint_condition,3,3568.5,2014,170.45
BasaweshwarNagar,no_information,2,2115,1906,79.56
Marathhalli,no_information,2,1530,2018,64
BasaweshwarNagar,no_information,4,2734,1906,99.39
Marathhalli,mint_condition,2,1500,2018,43.5
Basavangudi,mint_condition,2,1490,1917,49
Yalahanka,mint_condition,2,1040.51,2019,53.03
Marathhalli,no_information,2,547.9,1900,63
BasaweshwarNagar,mint_condition,4,3360,2019,164
Yalahanka,mint_condition,2,1181.3,2019,60.55
ElectronicCity,mint_condition,3,1500,2020,78
WillsonGarden,first_time_use,4,2752,1900,129.53
BTM,well_kept,2,599.74,1973,51
Bannerghatta,first_time_use_after_refurbishment,3,1558.8,1870,94
Bannerghatta,first_time_use_after_refurbishment,2,1590.35,1870,99
Bannerghatta,first_time_use_after_refurbishment,4,2159.2,1870,128
WillsonGarden,well_kept,2,580.16,1900,51
Yalahanka,mint_condition,2.5,2950,1920,161
ElectronicCity,well_kept,3.5,960.38,1918,102
Bannerghatta,first_time_use_after_refurbishment,2,1494.64,1870,90
Yalahanka,mint_condition,3,1817,2019,97.62
Basavangudi,fully_renovated,4,2105,1905,119
Hebbal,first_time_use,4,5774.83,2015,242.64
Basavangudi,no_information,2,755.3,1959,61.95
Basavangudi,mint_condition,3,1650,1920,77
Marathhalli,first_time_use,3,1570,1919,95.5
Hebbal,mint_condition,4,2405,2015,106
Hebbal,first_time_use,2,1493,2020,66
Hebbal,refurbished,2,1685,1995,73.78
BTM,first_time_use,1,759,2019,22
BasaweshwarNagar,mint_condition,2,1300,2018,60
BTM,fully_renovated,1,877.71,1900,37
Hebbal,mint_condition,3,1845,2020,85.48
Hebbal,first_time_use,3,2060,2019,85.5
Bannerghatta,modernized,3,1440,1900,95
Yalahanka,first_time_use,3,2485,2019,97.3
Hebbal,modernized,2,1200,1993,54
BTM,fully_renovated,2,780,1962,61.5
Marathhalli,first_time_use,3,3380,2018,120
Basavangudi,first_time_use_after_refurbishment,3,2498,1913,124
WillsonGarden,first_time_use,1,1040,2019,26.9
BTM,mint_condition,2,1055.43,2017,61
Yalahanka,mint_condition,3,1720,2017,74.37
WillsonGarden,mint_condition,2,1980,2015,84
Marathhalli,first_time_use,3,2375,2019,100
Marathhalli,mint_condition,1,967.4,2019,48.8
Hebbal,first_time_use,3,1785,2019,66.55
BasaweshwarNagar,mint_condition,3,2435,2015,122.98
Basavangudi,first_time_use,2,1350,2020,52.97
Hebbal,mint_condition,5,2310,2014,142
Marathhalli,first_time_use,2,1290,2019,44
WillsonGarden,fully_renovated,2,1359,1903,77
WillsonGarden,first_time_use,3,1700,2017,82.07
Marathhalli,fully_renovated,2,1136.72,2012,83.03
Marathhalli,well_kept,2,1500,2018,57.7
Bannerghatta,fully_renovated,2,1250,1998,61
Hebbal,first_time_use,4,2380,2020,108.5
Marathhalli,first_time_use,3,2170,2019,105
Basavangudi,well_kept,2,1040,1956,57
BasaweshwarNagar,refurbished,2,975,1908,56
Marathhalli,first_time_use,3.5,1999.47,2019,103
Marathhalli,first_time_use,2,1490,2019,64.14
Basavangudi,well_kept,2,1200,1918,72
Marathhalli,well_kept,5,2040,1908,136
WillsonGarden,first_time_use_after_refurbishment,2,512.93,1986,41.03
WillsonGarden,first_time_use_after_refurbishment,2,1250,1953,62.5
Basavangudi,no_information,3,1600,1910,90
BasaweshwarNagar,mint_condition,3.5,2799,2014,105
Bannerghatta,mint_condition,3,1160,2019,65
Bannerghatta,mint_condition,2,950,2017,60.72
Banashankari,first_time_use,4,1654.39,2020,85.32
WillsonGarden,first_time_use,1,920,1958,42
Banashankari,first_time_use,1,993.96,2020,50.33
Yalahanka,fully_renovated,3,4875,2010,195
Banashankari,first_time_use,3,1428.64,2020,73.72
Banashankari,first_time_use,2,984.4,2020,51.88
Banashankari,first_time_use,2,914.87,2020,48.56
Banashankari,first_time_use,2,776.47,2020,41
Banashankari,first_time_use,2,886.05,2020,47.04
BasaweshwarNagar,modernized,1,950,1903,40
Hebbal,first_time_use_after_refurbishment,4,2400,2020,108
BTM,no_information,1,379.95,1977,32.99
WillsonGarden,refurbished,1,669,1963,35
WillsonGarden,well_kept,3,1400,1963,72
Bannerghatta,first_time_use,1,558.06,2019,40.38
ElectronicCity,fully_renovated,2,964,1961,51.41
Hebbal,well_kept,1,924.44,2000,61.14
Hebbal,mint_condition,2,1394,2016,52
Hebbal,first_time_use,2.5,1632.54,2013,101.61
BTM,first_time_use,3,2202,2019,120.41
WillsonGarden,well_kept,2,727,1991,59.2
ElectronicCity,well_kept,1,427,1956,37.16
Basavangudi,first_time_use,2,1266.28,2020,56.24
BasaweshwarNagar,refurbished,1,475,1895,18
Basavangudi,modernized,2,1700,1991,80.77
Yalahanka,refurbished,4,2850,1895,127
ElectronicCity,first_time_use,3,1452.8,2020,78.3
Hebbal,mint_condition,2,1480,2017,48
BasaweshwarNagar,well_kept,4,1395,1999,86.26
Hebbal,mint_condition,2,1959,2017,85
Yalahanka,modernized,4,2255.84,1988,136.53
Bannerghatta,refurbished,2,938,2013,61.46
BTM,refurbished,3,1650,1900,75
BTM,refurbished,2,1650,1900,77
Basavangudi,modernized,5,2815,1890,175
BTM,refurbished,3,1650,1900,75
Banashankari,modernized,4,1161,1979,91.11
Basavangudi,refurbished,3,2028.2,2016,115.48
Banashankari,no_information,2,563.91,1979,49.4
Banashankari,fully_renovated,2,642.77,1979,55.13
BTM,refurbished,2,1650,1900,77
Banashankari,fully_renovated,1,420.09,1979,29.48
Banashankari,fully_renovated,3,808.46,1979,74.9
Basavangudi,modernized,1,620,1905,28
Marathhalli,modernized,4,2193,1984,115.48
WillsonGarden,modernized,1,900,2015,42.3
Marathhalli,first_time_use,2,1231.23,2019,57.94
Yalahanka,no_information,2,971.15,1987,64.63
Banashankari,mint_condition,2,991.19,2019,43.1
Banashankari,modernized,2,887,1979,67.88
Banashankari,modernized,4.5,1370,1979,106.1
Banashankari,first_time_use,1,690,2019,25.68
BTM,fully_renovated,2,712,1910,60
Banashankari,modernized,3,982,1979,71.41
BTM,modernized,3,1246,1994,80.79
BTM,first_time_use,3,1755,2018,92
BTM,first_time_use,2,1228.75,2018,65
BTM,first_time_use,3,1753,2018,92
BTM,first_time_use,2,1223.98,2018,66
Marathhalli,no_information,2,685,1903,57.08
Marathhalli,first_time_use,2,1432.6,2018,66.4
BasaweshwarNagar,mint_condition,2,1530,2019,68
Hebbal,first_time_use,2,2620,2018,75.95
Marathhalli,first_time_use,3,2484.62,2018,112.71
Marathhalli,first_time_use,2,1565.4,2018,66.4
Marathhalli,first_time_use,2,1780.9,2018,82.6
Marathhalli,first_time_use,3,2079.02,2018,106.36
Yalahanka,first_time_use,2,1800,2020,70.49
Hebbal,first_time_use,2,1635,2019,58
ElectronicCity,no_information,1,768,2016,32
Hebbal,fully_renovated,4,4800,1894,143.22
Banashankari,modernized,1,585,1984,36.94
Marathhalli,first_time_use,2,1413.03,2019,66.81
Basavangudi,mint_condition,3,2300,2017,97
Bannerghatta,first_time_use,3,1380.05,2019,82.16
WillsonGarden,first_time_use,1,1200,2020,31
Bannerghatta,first_time_use,1,811.1,2019,46.82
Yalahanka,no_information,2,1609.1,2017,58.64
Basavangudi,first_time_use_after_refurbishment,4,2320,1900,160
Bannerghatta,first_time_use,2,1030,2016,63
BTM,no_information,2,647.05,1982,59.02
Hebbal,refurbished,3,3090.4,1892,154.52
Bannerghatta,first_time_use,2,816.49,2019,43.39
BasaweshwarNagar,fully_renovated,1,699.3,1905,42
Bannerghatta,first_time_use,2,846,1886,62.59
WillsonGarden,fully_renovated,2.5,1124.93,1906,82.25
Marathhalli,first_time_use,3,2807,2019,112.27
Hebbal,refurbished,3,2892.25,1892,144.61
Hebbal,mint_condition,2.5,2488,2014,90
BTM,well_kept,4,1749.32,1980,101.89
Marathhalli,first_time_use,4,3994,2019,160
BasaweshwarNagar,well_kept,3,2708,1873,140.13
Banashankari,well_kept,4,1336.41,2019,102.88
Marathhalli,first_time_use,4,4184,2019,167.36
Hebbal,mint_condition,3,1854.98,2017,90.92
Banashankari,well_kept,2,570,1998,54.02
Marathhalli,first_time_use,3,2293.31,2019,102.38
Basavangudi,refurbished,1,1200,1975,30
Marathhalli,no_information,3,1502,1892,101.81
Marathhalli,no_information,2,1015,1892,70.88
Basavangudi,refurbished,2,1400,1974,60
Marathhalli,no_information,2,825,1892,57.75
Hebbal,first_time_use,2,1499,2020,61.26
BTM,first_time_use,3,2070,2019,105.35
Banashankari,modernized,2,876,1966,61.53
Basavangudi,first_time_use_after_refurbishment,4,2320,1900,160
WillsonGarden,well_kept,3,1700,1904,100
Banashankari,no_information,3,656.5,1930,61.83
Bannerghatta,first_time_use,1,886.05,2019,48.59
Bannerghatta,first_time_use,1,703.86,2019,42.45
Bannerghatta,first_time_use,3,1886.81,2019,120.29
Hebbal,mint_condition,2,1500,2016,75.12
BasaweshwarNagar,first_time_use_after_refurbishment,3.5,1660,1912,114.14
Bannerghatta,first_time_use,3,1690,2019,99.4
Basavangudi,no_information,1.5,478.52,1965,47.76
Bannerghatta,well_kept,4,1600,2016,111
Hebbal,mint_condition,4,2999,1900,145
BTM,well_kept,1,670.03,2000,49.67
Banashankari,modernized,2,860,1966,60.5
Yalahanka,first_time_use,3,2269,2020,92
Bannerghatta,well_kept,2,948.1,1996,75.31
Bannerghatta,well_kept,2,873,1996,54.78
Marathhalli,first_time_use,3,2130.31,2019,95.96
Basavangudi,first_time_use,2,969,2020,40
Yalahanka,refurbished,1,1175.72,1910,33.95
BasaweshwarNagar,no_information,2,1200,2010,67
Marathhalli,first_time_use,2,1834,1900,96.44
Yalahanka,modernized,2,1349.58,2015,60.4
Marathhalli,first_time_use,2,1320.49,2019,64.73
Marathhalli,first_time_use,3,1886.3,2019,90.47
BTM,mint_condition,5,2295,2017,137.31
Hebbal,first_time_use,3,1980,2019,83.73
Marathhalli,first_time_use,3,1846.23,2019,89.19
Hebbal,first_time_use,2,1447,2020,64
Hebbal,first_time_use,3,1770,2020,83
Basavangudi,well_kept,3,1343,1965,84.48
Bannerghatta,modernized,2,750,1997,62
Bannerghatta,well_kept,1,730.36,2016,32.61
BTM,modernized,3,1281.5,1994,76.15
BTM,well_kept,2,976.5,1994,58.2
BTM,refurbished,2,984.5,1994,56.68
Bannerghatta,well_kept,1,719.56,2016,28.4
Hebbal,no_information,2,2170,2006,83.65
Basavangudi,fully_renovated,4,2170,1922,146
Yalahanka,well_kept,1,995,2016,36
WillsonGarden,mint_condition,2,1250,1905,67
Yalahanka,well_kept,1,995,2016,36
Basavangudi,well_kept,2,921.59,1969,67.24
Banashankari,first_time_use,3,1236.72,2020,72.18
Hebbal,mint_condition,2,1090,2017,54.7
BasaweshwarNagar,refurbished,3,2105.4,2019,87.4
Marathhalli,first_time_use,2,1497.45,2019,71.82
BTM,well_kept,1,829,1910,36
Banashankari,mint_condition,2,948.09,2019,43.1
Marathhalli,fully_renovated,2,1494,1998,66.77
BTM,well_kept,1,829,1910,36
Marathhalli,first_time_use,4,2475.98,2019,115.7
Marathhalli,first_time_use,3,2549,1900,143.13
Banashankari,modernized,4,1182,1979,91.11
BasaweshwarNagar,mint_condition,2,1350,1900,35
WillsonGarden,well_kept,5,3104,1900,174.63
Banashankari,first_time_use,2,1160.55,2020,61.31
Basavangudi,fully_renovated,3,1285,1969,64
Marathhalli,first_time_use,3,1725.15,2019,82.15
Banashankari,no_information,3,575.45,1970,73.5
Banashankari,first_time_use,3,1709.33,2020,90.21
Banashankari,first_time_use,4,1535.3,2020,88.29
Hebbal,no_information,3,1356.44,2016,75.5
BTM,no_information,1,521.09,1977,48.72
Hebbal,first_time_use,3,1890,2019,75.65
Banashankari,first_time_use,2,1277.21,2020,65.96
Marathhalli,first_time_use,3,1939.2,2019,87.43
Yalahanka,first_time_use,4,2645.9,2019,131.05
Yalahanka,first_time_use,4,2630.39,2019,126.4
Banashankari,first_time_use,2,813.4,2020,48.99
BTM,first_time_use,3,1906.14,1917,112.99
Banashankari,well_kept,3,960,1985,77.96
Yalahanka,mint_condition,3,2039,1900,110
BTM,first_time_use,3,2265.47,1917,133.42
BasaweshwarNagar,well_kept,3,1184,1999,74.31
Marathhalli,mint_condition,4,2700,2019,119
BasaweshwarNagar,first_time_use_after_refurbishment,2,1639.52,1900,79
BTM,first_time_use,1,891.65,1917,51.72
BasaweshwarNagar,well_kept,2,1489,1901,73.41
Marathhalli,fully_renovated,4,4800,1885,240
Hebbal,no_information,3,1455.61,2016,79.44
Hebbal,first_time_use,3,2550,2020,116
BTM,first_time_use,3,1565.56,1917,88.3
Hebbal,mint_condition,5,2865.49,2017,123.08
Hebbal,first_time_use,3,2014.21,2018,76.22
